DATECOLLECTED,SAMPLELOCATION,daily_flow_rate_m3
2022-07-15,CA_Christchurch,271395.9582
2022-07-16,CA_Christchurch,237004.9308
2022-07-17,CA_Christchurch,214410.5391
2022-07-18,CA_Christchurch,212785.8588
2022-07-19,CA_Christchurch,178863.7093
2022-07-20,CA_Christchurch,177317.3018
2022-07-21,CA_Christchurch,495548.204
2022-07-22,CA_Christchurch,368105.9461
2022-07-23,CA_Christchurch,260059.2155
2022-07-24,CA_Christchurch,230643.6853
2022-07-25,CA_Christchurch,241049.4155
2022-07-26,CA_Christchurch,627813.2347
2022-07-27,CA_Christchurch,600078.6238
2022-07-28,CA_Christchurch,372303.3202
2022-07-29,CA_Christchurch,299731.1361
2022-07-30,CA_Christchurch,282318.0381
2022-07-31,CA_Christchurch,492332.1081
2022-08-01,CA_Christchurch,391145.6963
2022-08-03,CA_Christchurch,NA
2022-08-08,CA_Christchurch,NA
2022-08-10,CA_Christchurch,NA
2022-08-15,CA_Christchurch,NA
2022-08-17,CA_Christchurch,NA
2022-08-22,CA_Christchurch,NA
2022-08-24,CA_Christchurch,NA
2022-08-29,CA_Christchurch,NA
2022-08-31,CA_Christchurch,NA
2022-09-05,CA_Christchurch,NA
2022-09-06,CA_Christchurch,NA
2022-09-14,CA_Christchurch,NA
2022-09-19,CA_Christchurch,NA
2022-09-21,CA_Christchurch,NA
2022-09-27,CA_Christchurch,NA
2022-10-03,CA_Christchurch,NA
2022-10-05,CA_Christchurch,NA
2022-01-01,WG_Karori,3229.733422
2022-01-02,WG_Karori,3405.686482
2022-01-03,WG_Karori,3198.376927
2022-01-04,WG_Karori,3376.357834
2022-01-05,WG_Karori,3255.364662
2022-01-06,WG_Karori,3170.219872
2022-01-07,WG_Karori,3252.379604
2022-01-08,WG_Karori,3385.945379
2022-01-09,WG_Karori,3359.303947
2022-01-10,WG_Karori,3516.461297
2022-01-11,WG_Karori,3051.218542
2022-01-12,WG_Karori,3287.959466
2022-01-13,WG_Karori,3204.50044
2022-01-14,WG_Karori,2961.50929
2022-01-15,WG_Karori,3314.361265
2022-01-16,WG_Karori,3504.433151
2022-01-17,WG_Karori,3153.768389
2022-01-18,WG_Karori,3118.419966
2022-01-19,WG_Karori,3172.754161
2022-01-20,WG_Karori,3154.786723
2022-01-21,WG_Karori,2863.347889
2022-01-22,WG_Karori,3221.658385
2022-01-23,WG_Karori,3102.683292
2022-01-24,WG_Karori,3300.491126
2022-01-25,WG_Karori,3171.987741
2022-01-26,WG_Karori,3450.826845
2022-01-27,WG_Karori,3742.4207
2022-01-28,WG_Karori,3092.315774
2022-01-29,WG_Karori,3161.88555
2022-01-30,WG_Karori,3555.377875
