Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Cape Campbell Aws,9/8/2021,24.2,-,0,21.8,24,D
Levin Aws,9/8/2021,26.8,-,0,25.5,24,D
Levin Ews,9/8/2021,26.4,-,0,25.4,24,D
Mana Island Aws,9/8/2021,34.6,-,0,33.1,24,D
Martinborough Ews,9/8/2021,37.2,-,0,34.4,24,D
Masterton Aero Aws,9/8/2021,34.6,-,0,33.2,24,D
Masterton Ews,9/8/2021,27.8,-,0,26.4,24,D
"Masterton, Te Ore Ore Cws",9/8/2021,32.8,-,0,31.4,24,D
"Masterton, Te Ore Ore Srig",9/8/2021,23.8,-,0,22.4,24,D
Maungaraki 3,9/8/2021,52.4,-,0,50.7,24,D
Ngawi Aws,9/8/2021,42.4,-,0,39,24,D
Paraparaumu Aero,9/8/2021,35.1,1,0,33.9,24,D
Paraparaumu Aero Aws,9/8/2021,36,-,0,34.8,24,D
Paraparaumu Ews,9/8/2021,33.6,-,0,32.4,24,D
"Porirua, Elsdon Park Aws",9/8/2021,46.8,-,0,45.1,24,D
Stephens Island Aws,9/8/2021,20.6,-,-,-,24,D
"Upper Hutt, Trentham Ews",9/8/2021,40.2,-,0,38.5,24,D
Wellington Aero,9/8/2021,47.2,-,0,38.6,24,D
"Wellington, Greta Point Cws",9/8/2021,54.2,-,0,46.7,24,D
"Wellington, Kelburn 2",9/8/2021,50.2,-,0,46.1,24,D
"Wellington, Kelburn Aws",9/8/2021,51,-,0,48.3,24,D
Baring Head,10/8/2021,0.6,-,0.7,0,24,D
Blenheim Aero Aws,10/8/2021,0,-,1.2,0,24,D
Blenheim Research Ews,10/8/2021,0,-,1.2,0,24,D
Brothers Island Aws,10/8/2021,0.6,-,0.4,0,24,D
Cape Campbell Aws,10/8/2021,0.2,-,1,0,24,D
Levin Aws,10/8/2021,6.2,-,0,5.2,24,D
Levin Ews,10/8/2021,5.8,-,0,4.8,24,D
Mana Island Aws,10/8/2021,1.4,-,0,0.4,24,D
Martinborough Ews,10/8/2021,16.4,-,0,15.2,24,D
Masterton Aero Aws,10/8/2021,19.8,-,0,18.8,24,D
